relative_path,relative_path_length,repo_relative_path,repo_relative_path_length,byte_count,size_mb,above_75mb,above_100mb,path_within_140_chars,push_allowed,dense_table_partition,sha256
09_figures/v410_belief_evolution.png,36,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/09_figures/v410_belief_evolution.png,103,66678,0.06358909606933594,False,False,True,True,False,34788dc7ed81358df5583a3d443b4184468b7b878d2b537c918048deeed4eb2a
09_figures/v410_governor_rejection_summary.png,46,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/09_figures/v410_governor_rejection_summary.png,113,44556,0.042491912841796875,False,False,True,True,False,d62a7d22d53bcb2a99425ed4d228f416aaafd1cf097a4e1bf77bfc2943d94853
09_figures/v410_memory_ablation_bar.png,39,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/09_figures/v410_memory_ablation_bar.png,106,71291,0.06798839569091797,False,False,True,True,False,41b32c4f86440424662dbc665ac2928b80fbd762854eddfcc9411aadd90f2fc1
09_figures/v410_outcome_prediction_alignment.png,48,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/09_figures/v410_outcome_prediction_alignment.png,115,75212,0.07172775268554688,False,False,True,True,False,ceb53fa9ad78882d171cf720dbc02f4d502cf1d2151d6d8c59430fd26917ae42
09_figures/v410_paired_delta_plot.png,37,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/09_figures/v410_paired_delta_plot.png,104,123271,0.11756038665771484,False,False,True,True,False,d3b14c28fdc6291f4f209376b9f65dba1739612c1fcd49634c467719ba464b86
cal/c000/001/manifests/claim_boundary.json,42,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/manifests/claim_boundary.json,109,692,0.000659942626953125,False,False,True,True,False,0af928d3bd1153e9ff8783f8cb29fb60b3aa7c7140860d077027a1bd75ed2f3b
cal/c000/001/manifests/full_loop_validation_manifest.json,57,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/manifests/full_loop_validation_manifest.json,124,3716,0.003543853759765625,False,False,True,True,False,e96fc9f249c794b8b6e7ce97b3af64731ac349a2025272869651fafd0f014cdb
cal/c000/001/manifests/policy_set.json,38,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/manifests/policy_set.json,105,2043,0.0019483566284179688,False,False,True,True,False,1b6b9a9f60bbbe4e35333d1694fd467390cda11c985237ab2295f5cc23d600e4
cal/c000/001/manifests/source_audit.json,40,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/manifests/source_audit.json,107,4921,0.004693031311035156,False,False,True,True,False,cee9ae4cc254d431ecc9b496b15836a0b03adbf35cc13aeab98231ba51ee6f65
cal/c000/001/manifests/static_map_prior.json,44,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/manifests/static_map_prior.json,111,1192,0.00113677978515625,False,False,True,True,False,79a1b74cbf647a47ecab08950269e0fea9fbd4c3a9f463ec473053e22e30818b
cal/c000/001/metrics/belief_evolution_summary.csv,49,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/belief_evolution_summary.csv,116,754,0.0007190704345703125,False,False,True,True,False,471abfa136ead62f9bcc2dae5c22e108c036e23bce3f24c4ada4806fc787d658
cal/c000/001/metrics/belief_snapshot_log.csv,44,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/belief_snapshot_log.csv,111,2054546,1.9593677520751953,False,False,True,True,False,28091c47b485e77a28c1fb9f631dde2b916e0f4823b791003d0e2a17d6dc8e32
cal/c000/001/metrics/episode_schedule.csv,41,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/episode_schedule.csv,108,152817,0.1457376480102539,False,False,True,True,False,9e02189ffeebb9d2027646fb4f57609d1e0b459eddcd650015f896f2a5b86058
cal/c000/001/metrics/episode_summary.csv,40,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/episode_summary.csv,107,257704,0.24576568603515625,False,False,True,True,False,0d17c5f0d96434bee85f247eeeaf58221d49031a5c5130b425612d122f62ab3b
cal/c000/001/metrics/governor_rejection_log.csv,47,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/governor_rejection_log.csv,114,20324472,19.38292694091797,False,False,True,True,False,7bca09d08af0449fde08a4bc3dd4c4a3cc6c8c0e517940e344b6da91a805510a
cal/c000/001/metrics/governor_rejection_summary.csv,51,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/governor_rejection_summary.csv,118,2049,0.0019540786743164062,False,False,True,True,False,3c2b911cd19872a38292cb5eac8a376405e19bbd07adb50be6ffcde9dfcd41a0
cal/c000/001/metrics/memory_ablation_summary.csv,48,03_Control/05_Results/lqr_contextual_v1_0/governor_calibration/001/cal/c000/001/metrics/memory_ablation_summary.csv,115,599,0.0005712509155273438,False,False,True,True,False,0863a6e3ac213b50b6e4ddba899f694c1be2bdf54b04357428904afc0292cd57
