check_id,observed,passed,required
doc_readable:docs/Daily_Schedule.txt,37959,True,readable
doc_readable:docs/Glider_Control_Project_Plan.md,94504,True,readable
doc_readable:docs/Literature_Review.txt,19477,True,readable
doc_readable:docs/Logbook.txt,17126,True,readable
doc_readable:docs/MATLAB Coding.txt,18571,True,readable
doc_readable:docs/PR.txt,24154,True,readable
doc_readable:docs/Progrewss Report.txt,17034,True,readable
doc_readable:docs/Pseudocode Writing Instructions.txt,18142,True,readable
doc_readable:docs/Python Coding Instruction.txt,26212,True,readable
doc_readable:docs/Python Coding to CODEX.txt,19943,True,readable
doc_readable:docs/Python Plotting Guidance.txt,19138,True,readable
doc_readable:docs/Reference Searching.txt,18456,True,readable
doc_readable:docs/Skills.md,32062,True,readable
doc_readable:docs/Thesis.txt,20994,True,readable
doc_readable:docs/housekeeping_and_naming_rules.md,21825,True,readable
doc_readable:docs/local_validation_environment.md,5361,True,readable
stage_semantics:docs/Daily_Schedule.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Glider_Control_Project_Plan.md,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Literature_Review.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Logbook.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/MATLAB Coding.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/PR.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Progrewss Report.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Pseudocode Writing Instructions.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Python Coding Instruction.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Python Coding to CODEX.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Python Plotting Guidance.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Reference Searching.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Skills.md,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/Thesis.txt,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
stage_semantics:docs/housekeeping_and_naming_rules.md,[],True,current R5/R7/R8/R10/R11 semantics with R9 internal only
active_thesis_workflow_transition_aware,R5 -> R7 -> R8 -> R10 -> R11 -> Reality,True,R5 -> R7 -> R8 -> R10 -> R11 -> Reality
r9_internal_only,R9 remains internal preflight only,True,R9 remains internal preflight only
transition_object_core,Every primitive is treated as a transition object,True,Every primitive is treated as a transition object
r7_not_local_success_only,No primitive may pass R7 solely on local rollout success,True,No primitive may pass R7 solely on local rollout success
memory_scoped_per_final_row,Memory is reinitialised per final test row,True,Memory is reinitialised per final test row
two_level_governor_learning_strategy,The learning strategy is two-level,True,The learning strategy is two-level
case_local_online_memory_scope,case-local and reset per final test row,True,case-local and reset per final test row
r10_global_deterministic_calibration,R10 performs deterministic global calibration,True,R10 performs deterministic global calibration
r10_no_profile_ladder_or_black_box,"no profile ladder, Bayesian optimisation, neural tuning, or black-box search",True,"no profile ladder, Bayesian optimisation, neural tuning, or black-box search"
final_score_only_final_heldout_path,Final scoring is computed only from the final held-out rollout path,True,Final scoring is computed only from the final held-out rollout path
full_safe_success_gate,full_safe_success,True,full_safe_success
updraft_gain_active_weight,updraft_gain_weight,True,updraft_gain_weight
no_speed_active_gate,Low speed is not an active governor rejection reason,True,Low speed is not an active governor rejection reason
energy_loss_not_hard_failure,Energy loss is also not a hard-failure reason,True,Energy loss is also not a hard-failure reason
sample_count_coverage,sample_count,True,sample_count
r11_consumes_r10_frozen_config,frozen governor config written by R10,True,frozen governor config written by R10
r8_coverage_medoid_selection,coverage-aware medoid,True,coverage-aware medoid
r8_no_synthetic_controller_in_clustering,without averaging Q/R or synthesising new controllers,True,without averaging Q/R or synthesising new controllers
r8_speed_bin_coverage_preservation,speed-bin collapse is a library-coverage failure,True,speed-bin collapse is a library-coverage failure
recovery_self_transition_progress_gate,recoverable_degraded -> recoverable_degraded,True,recoverable_degraded -> recoverable_degraded
recovery_boundary_route_not_full_pass,recoverable_degraded -> boundary_near,True,recoverable_degraded -> boundary_near
r9_quick_preflight_60_final,60 final held-out launches,True,60 final held-out launches
r9_quick_preflight_645_history,645 history launches,True,645 history launches
r10_single_hard_training_distribution,R10 is governor/spatial-memory tuning on one hard training distribution,True,R10 is governor/spatial-memory tuning on one hard training distribution
r10_tunes_memory_shield_exploration_handoff,"R10 may tune memory sensitivity, shield margins, exploration thresholds",True,"R10 may tune memory sensitivity, shield margins, exploration thresholds"
r11_eight_block_fidelity_ladder,R11 is held-out validation on an eight-block fidelity ladder,True,R11 is held-out validation on an eight-block fidelity ladder
plant_implementation_fixed_per_outer_case,plant/implementation are fixed across history/final launches,True,plant/implementation are fixed across history/final launches
outer_loop_realtime_scheduler_profile,preferred 20 ms controller-slot budget and a hard 0.100 s primitive-boundary budget,True,preferred 20 ms controller-slot budget and a hard 0.100 s primitive-boundary budget
memory_opportunity_audit,memory_opportunity_summary.csv,True,memory_opportunity_summary.csv
energy_alias_legacy_only,expected_energy_residual_m+legacy,True,expected_energy_residual_m documented as legacy alias
