parameter,value,applied_to_replay,description
post_stall_surface_replay_scale,1,False,Train-replay-selected multiplier used by non-staged post-stall ablations.
attached_cm_bias_coeff,6.405167219e-08,False,Attached-flow Cm residual applied through attached_pitch_moment_bias_coeff when enabled.
transition_cm_bias_coeff,-0.0158117529,False,Transition-window Cm residual applied through transition_pitch_moment_bias_coeff when enabled.
transition_before_post_stall_cm_bias_coeff,-0.01679869311,False,Transition Cm diagnostic before first post-stall exposure in each throw.
transition_after_post_stall_cm_bias_coeff,0.01039237452,False,Transition Cm diagnostic after the throw has already entered post-stall.
post_stall_lift_residual_coeff,-0.02025124404,False,Compact scalar post-stall CL residual. Default promoted post-stall lift correction.
post_stall_drag_residual_coeff,0.05522824472,False,Compact scalar post-stall CD residual. Default promoted post-stall drag correction.
post_stall_pitch_moment_coeff,-0.008184862,False,Compact scalar post-stall Cm residual applied only through the post-stall pitch weight.
post_stall_pitch_damping_coeff,0,False,Positive-AoA Cmq-style residual using q_hat = q c / (2V). Opt-in because it is derivative-sensitive.
post_stall_residual_blend_start_alpha_deg,12,False,Residual activation start alpha fitted after attached and post-stall coefficients.
post_stall_residual_blend_full_alpha_deg,20,False,Residual activation full-alpha point fitted from transition behaviour while preserving post-stall full activation.
side_force_bias_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
side_force_beta_coeff,-1.195207091,True,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
side_force_p_hat_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
side_force_r_hat_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
roll_moment_bias_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
roll_moment_beta_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
roll_moment_p_hat_coeff,0.2585582082,True,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
roll_moment_r_hat_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
yaw_moment_bias_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
yaw_moment_beta_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
yaw_moment_p_hat_coeff,0,False,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
yaw_moment_r_hat_coeff,0.2912172735,True,"Compact attached lateral residual term. Default primary fit leaves attached lateral terms report-only; the secondary diagnostic applies only CY_beta, Cl_p, and Cn_r."
transition_side_force_bias_coeff,0,False,"Compact transition-window lateral delta multiplied by 4*smoothstep*(1-smoothstep). Disabled by default; only CY_beta, Cl_p, and Cn_r are fit when enabled."
transition_side_force_beta_coeff,0,False,"Compact transition-window lateral delta multiplied by 4*smoothstep*(1-smoothstep). Disabled by default; only CY_beta, Cl_p, and Cn_r are fit when enabled."
